date,season,year,month,weather,atemp,count,atemp_range,atemp_category
2011-01-01,spring,2011,Jan,Misty/Cloudy,18.18125,985,"(11.572, 19.19]",Cold
2011-01-02,spring,2011,Jan,Misty/Cloudy,17.686950000000003,801,"(11.572, 19.19]",Cold
2011-01-03,spring,2011,Jan,Clear/Partly Cloudy,9.47025,1349,"(3.952, 11.572]",Very Cold
2011-01-04,spring,2011,Jan,Clear/Partly Cloudy,10.6061,1562,"(3.952, 11.572]",Very Cold
2011-01-05,spring,2011,Jan,Clear/Partly Cloudy,11.4635,1600,"(3.952, 11.572]",Very Cold
2011-01-06,spring,2011,Jan,Clear/Partly Cloudy,11.66045,1606,"(11.572, 19.19]",Cold
2011-01-07,spring,2011,Jan,Misty/Cloudy,10.44195,1510,"(3.952, 11.572]",Very Cold
2011-01-08,spring,2011,Jan,Misty/Cloudy,8.1127,959,"(3.952, 11.572]",Very Cold
2011-01-09,spring,2011,Jan,Clear/Partly Cloudy,5.80875,822,"(3.952, 11.572]",Very Cold
2011-01-10,spring,2011,Jan,Clear/Partly Cloudy,7.5443999999999996,1321,"(3.952, 11.572]",Very Cold
2011-01-11,spring,2011,Jan,Misty/Cloudy,9.5732,1263,"(3.952, 11.572]",Very Cold
2011-01-12,spring,2011,Jan,Clear/Partly Cloudy,8.02365,1162,"(3.952, 11.572]",Very Cold
2011-01-13,spring,2011,Jan,Clear/Partly Cloudy,7.544149999999999,1406,"(3.952, 11.572]",Very Cold
2011-01-14,spring,2011,Jan,Clear/Partly Cloudy,9.42065,1421,"(3.952, 11.572]",Very Cold
2011-01-15,spring,2011,Jan,Misty/Cloudy,12.4056,1248,"(11.572, 19.19]",Cold
2011-01-16,spring,2011,Jan,Clear/Partly Cloudy,11.71085,1204,"(11.572, 19.19]",Cold
2011-01-17,spring,2011,Jan,Misty/Cloudy,8.838550000000001,1000,"(3.952, 11.572]",Very Cold
2011-01-18,spring,2011,Jan,Misty/Cloudy,11.61665,683,"(11.572, 19.19]",Cold
2011-01-19,spring,2011,Jan,Misty/Cloudy,14.921100000000001,1650,"(11.572, 19.19]",Cold
2011-01-20,spring,2011,Jan,Misty/Cloudy,12.7525,1927,"(11.572, 19.19]",Cold
2011-01-21,spring,2011,Jan,Clear/Partly Cloudy,7.89165,1543,"(3.952, 11.572]",Very Cold
2011-01-22,spring,2011,Jan,Clear/Partly Cloudy,3.9534800000000003,981,"(3.952, 11.572]",Very Cold
2011-01-23,spring,2011,Jan,Clear/Partly Cloudy,4.941955,986,"(3.952, 11.572]",Very Cold
2011-01-24,spring,2011,Jan,Clear/Partly Cloudy,5.8965,1416,"(3.952, 11.572]",Very Cold
2011-01-25,spring,2011,Jan,Misty/Cloudy,11.7263,1985,"(11.572, 19.19]",Cold
2011-01-26,spring,2011,Jan,Light Rain/Snow,10.18,506,"(3.952, 11.572]",Very Cold
2011-01-27,spring,2011,Jan,Clear/Partly Cloudy,10.985,431,"(3.952, 11.572]",Very Cold
2011-01-28,spring,2011,Jan,Misty/Cloudy,11.165849999999999,1167,"(3.952, 11.572]",Very Cold
2011-01-29,spring,2011,Jan,Clear/Partly Cloudy,10.606300000000001,1098,"(3.952, 11.572]",Very Cold
2011-01-30,spring,2011,Jan,Clear/Partly Cloudy,12.5161,1096,"(11.572, 19.19]",Cold
2011-01-31,spring,2011,Jan,Misty/Cloudy,9.3125,1501,"(3.952, 11.572]",Very Cold
2011-02-01,spring,2011,Feb,Misty/Cloudy,11.7265,1360,"(11.572, 19.19]",Cold
2011-02-02,spring,2011,Feb,Misty/Cloudy,12.72085,1526,"(11.572, 19.19]",Cold
